ep,tag,loss_data,loss_arrhenius,loss_peak_height,loss_tail_decline,loss_reg,loss_total
1,[Warmup theta] Ep 01,0.05743747782082767,0.01280913105956069,0.00325917304686225,2.8446834095154382e-21,0.0,0.057728527700329234
2,[Warmup theta] Ep 02,0.05313455325610063,0.012204013429246508,0.0023262499358068438,1.03636854691466e-16,0.0,0.053372905922629915
3,[Warmup theta] Ep 03,0.052985385493328166,0.011559773941297789,0.0021797621385136715,4.495306518351537e-21,0.0,0.053209971521036105
4,[Warmup theta] Ep 04,0.053581947237379045,0.011622309684753418,0.0023207292329870725,4.647015339024175e-24,0.0,0.05381420686702571
5,[Warmup theta] Ep 05,0.052766395603235275,0.011313544468836742,0.0022987012275570867,1.308191134701115e-22,0.0,0.05299446609779471
6,[Warmup theta] Ep 06,0.05291409939863123,0.011147888394089433,0.00230631454493169,3.422721237662172e-18,0.0,0.05314089387795796
7,[Warmup theta] Ep 07,0.05324170866672805,0.011276444873294315,0.00226783738663088,3.7661549307821977e-23,0.0,0.05346786502700484
8,[Warmup theta] Ep 08,0.05220787456228455,0.011123756030658344,0.002222673110332857,8.69606535624546e-24,0.0,0.05243024584145845
9,[Warmup theta] Ep 09,0.05329720836514523,0.011575847864151001,0.002301110875074251,2.759588152877898e-23,0.0,0.05352802228954461
10,[Warmup theta] Ep 10,0.05239689028072003,0.011111278523195971,0.0022659754219832625,1.2411184883859142e-22,0.0,0.05262130169803067
11,[Warmup theta] Ep 11,0.0521429836354638,0.010960771156860902,0.0022491960870214245,2.057543050003689e-17,0.0,0.05236505128040507
12,[Warmup theta] Ep 12,0.051766569601494596,0.011153664137866046,0.002133429820424488,3.2701191509380955e-24,0.0,0.051984777757064185
13,[Warmup theta] Ep 13,0.052327633216066774,0.011343278057940371,0.0024627995463785907,7.706648093190818e-23,0.0,0.05256420593217921
14,[Warmup theta] Ep 14,0.05223006730676872,0.01126645894737931,0.002244537897481478,1.3527811919743047e-14,0.0,0.05245495868242673
15,[Warmup theta] Ep 15,0.05245470248717555,0.011467722622123925,0.0023096350577518293,1.4010163308983087e-23,0.0,0.05268486141230332
16,[Warmup theta] Ep 16,0.052571113421403394,0.01119931646295496,0.002666505028948692,0.0,0.0,0.05281643178088481
